Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-02-10,89051435,dw,front_control,BOSCH,ascenta,SHE3AR75UC,,us,retail,homedepot,,Negative,use,,Also the Clean light doesn't work so we can't tell when the dishes are clean.,It's a bit louder than I thought it would be. Also the Clean light doesn't work so we can't tell when the dishes are clean. I had a hard time setting up the wifi - the instructions were not very clear.,It's a bit louder than I thought it would be. Also the Clean light doesn't work so we can't tell when the dishes are clean. I had a hard time setting up the wifi - the instructions were not very clear.,Verified,,3.0
24-02-10,89051435,dw,front_control,BOSCH,ascenta,SHE3AR75UC,,us,retail,homedepot,,Negative,"onboard,use",Easy_Use,I had a hard time setting up the wifi - the instructions were not very clear.,It's a bit louder than I thought it would be. Also the Clean light doesn't work so we can't tell when the dishes are clean. I had a hard time setting up the wifi - the instructions were not very clear.,It's a bit louder than I thought it would be. Also the Clean light doesn't work so we can't tell when the dishes are clean. I had a hard time setting up the wifi - the instructions were not very clear.,Verified,,3.0
24-02-10,58860928,dw,top_control,BOSCH,4_series,SMH4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Performance_Washing,The device has good washing performance and the WiFi function is really practical.,[ Good flushing performance ] || ---------------- || The device has good washing performance and the WiFi function is really practical. This means that the device can be switched on while on the go if you forget it,[ Gute Spülleistung ] || ---------------- || Das Gerät hat eine gute Spülleistung und die wlan funktion ist wirklich praktisch. So kann das Gerät auch von unterwegs noch angeschaltet werden sollte man es mal vergessen haben,,,5.0
24-02-10,58860928,dw,top_control,BOSCH,4_series,SMH4ECX21E,EU,es,retail,bosch_home_es,,Neutral,use,Easy_Use,This means that the device can be switched on while on the go if you forget it,[ Good flushing performance ] || ---------------- || The device has good washing performance and the WiFi function is really practical. This means that the device can be switched on while on the go if you forget it,[ Gute Spülleistung ] || ---------------- || Das Gerät hat eine gute Spülleistung und die wlan funktion ist wirklich praktisch. So kann das Gerät auch von unterwegs noch angeschaltet werden sollte man es mal vergessen haben,,,5.0
24-02-10,58861140,dw,top_control,GE,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,,us,retail,geappliances,,Positive,onboard,Delivery_Installation,Love how easy it was to install and get set up.,[ Easy setup ] || ---------------- || Love how easy it was to install and get set up. It cleans great!,[ Easy setup ] || ---------------- || Love how easy it was to install and get set up. It cleans great!,,,5.0
24-02-10,58861140,dw,top_control,GE,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,,us,retail,geappliances,,Positive,use,Performance_Washing,It cleans great!,[ Easy setup ] || ---------------- || Love how easy it was to install and get set up. It cleans great!,[ Easy setup ] || ---------------- || Love how easy it was to install and get set up. It cleans great!,,,5.0
24-02-10,58861240,dw,top_control,GE,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,,us,retail,geappliances,,Positive,use,Design,This dishwasher is huuuuge!,"[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy. 100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.","[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy.  100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.",,,5.0
24-02-10,58861240,dw,top_control,GE,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,,us,retail,geappliances,,Positive,use,Performance_Washing,"I was so excited when I received it, even more so when I tried it out and my dishes were sparkling.","[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy. 100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.","[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy.  100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.",,,5.0
24-02-10,58861240,dw,top_control,GE,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,,us,retail,geappliances,,Positive,use,Delivery_Installation,It rolls so easily even though it's quite heavy.,"[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy. 100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.","[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy.  100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.",,,5.0
24-02-10,58861240,dw,top_control,GE,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,,us,retail,geappliances,,Very Positive,use,,100% recommend this appliance!,"[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy. 100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.","[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy.  100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.",,,5.0
24-02-10,58861240,dw,top_control,GE,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,GPT225SGLBB_GPT225SGLWW_GPT225SSLSS,,us,retail,geappliances,,Positive,use,Design,Also matches the rest of my kitchen now which is a bonus for me.,"[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy. 100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.","[ Wonderfully enormous dishwasher ] || ---------------- || This dishwasher is huuuuge! I was so excited when I received it, even more so when I tried it out and my dishes were sparkling. It rolls so easily even though it's quite heavy.  100% recommend this appliance! Also matches the rest of my kitchen now which is a bonus for me.",,,5.0
24-02-10,58867332,dw,top_control,LG,LDTS5552D_LDTS5552S,LDTS5552D_LDTS5552S,,us,retail,costco,,Positive,use,,Almost no sound.,[ Perfect dishwasher. ] || ---------------- || Almost no sound. Heavy duty plastic inside. Turbo cycle is 1 hour and is perfect. I never use anything else.,[ Perfect dishwasher. ] || ---------------- || Almost no sound. Heavy duty plastic inside. Turbo cycle is 1 hour and is perfect. I never use anything else.,,,5.0
