Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-03-13,49492301,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,,Price,The unit was priced right and had the qualities we wanted and appearance we were looking for.,[ The unit is very quiet and efficient. ] || ---------------- || The unit was priced right and had the qualities we wanted and appearance we were looking for.,[ The unit is very quiet and efficient. ] || ---------------- || The unit was priced right and had the qualities we wanted and appearance we were looking for.,,,5.0
23-03-13,49492279,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,Performance_Washing,This dish washer does a great job washing the dishes.,[ works great ] || ---------------- || This dish washer does a great job washing the dishes. The controls are the inside the door. It makes it look great but I miss being able to know how far into the wash cycle it is.,[ works great ] || ---------------- || This dish washer does a great job washing the dishes.  The controls are the inside the door.  It makes it look great but I miss being able to know how far into the wash cycle it is.,,,5.0
23-03-13,49492279,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Neutral,use,Easy_Use,The controls are the inside the door.,[ works great ] || ---------------- || This dish washer does a great job washing the dishes. The controls are the inside the door. It makes it look great but I miss being able to know how far into the wash cycle it is.,[ works great ] || ---------------- || This dish washer does a great job washing the dishes.  The controls are the inside the door.  It makes it look great but I miss being able to know how far into the wash cycle it is.,,,5.0
23-03-13,49492279,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,Design,It makes it look great but I miss being able to know how far into the wash cycle it is.,[ works great ] || ---------------- || This dish washer does a great job washing the dishes. The controls are the inside the door. It makes it look great but I miss being able to know how far into the wash cycle it is.,[ works great ] || ---------------- || This dish washer does a great job washing the dishes.  The controls are the inside the door.  It makes it look great but I miss being able to know how far into the wash cycle it is.,,,5.0
23-03-13,49492306,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,Performance_Washing,It does an outstanding job cleaning even the tough dried or cooked on food remains.,[ Cleaning ] || ---------------- || It does an outstanding job cleaning even the tough dried or cooked on food remains.,[ Cleaning ] || ---------------- || It does an outstanding job cleaning even the tough dried or cooked on food remains.,,,5.0
23-03-13,49492294,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,purchase,Price,GE offers high end quality and features for a reasonable price!,"[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes! I am very satisfied with my purchase.","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes!I am very satisfied with my purchase.",,,5.0
23-03-13,49492294,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Neutral,use,Performance_Washing,"I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys.","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes! I am very satisfied with my purchase.","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes!I am very satisfied with my purchase.",,,5.0
23-03-13,49492294,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,Performance_Drying,"Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes!","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes! I am very satisfied with my purchase.","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes!I am very satisfied with my purchase.",,,5.0
23-03-13,49492294,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,Performance_Washing,"Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes!","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes! I am very satisfied with my purchase.","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes!I am very satisfied with my purchase.",,,5.0
23-03-13,49492294,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,"purchase,use",,I am very satisfied with my purchase.,"[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes! I am very satisfied with my purchase.","[ Great quality ] || ---------------- || GE offers high end quality and features for a reasonable price! I was 8 months pregnant while purchasing this dishwasher and it was very important to me that it had the steam and dry boost setting in order to wash, sanitize and sterilize my daughter bottles and plastic toys. Also, I am very impressed with how clean and dry my dishes come out after the cycle finishes!I am very satisfied with my purchase.",,,5.0
